date,kickoff,country,league,league_name,home,away,bet,bet_label,odds,mkt_median,ev,fair_odds,model_odds,h_xg,a_xg,fair_odds_h,fair_odds_d,fair_odds_a,mkt_odds_h,mkt_odds_d,mkt_odds_a,top_books,model_prob,market_prob,edge_pp,stake_pct,kelly_full_pct,confidence,bet_score,stake_units
2026-09-15,18:00,Spain,SP1,Spain La Liga,Vallecano,Espanol,H,Home,2.46,2.3,60.115275395953894,1.5363930730010562,1.5363930730010562,1.685040178387605,0.9518425534496945,1.5363930730010562,4.12910191454243,9.350908344762615,2.3,3.4,3.1,"[('BFE', 2.46), ('Max', 2.38), ('B365', 2.3), ('BFD', 2.3), ('BV', 2.3)]",0.650875103235585,0.4065040650406504,24.437103819493455,3.0,41.17484616161226,0.8923644317031494,1310.9219235064693,30.0
2026-09-15,19:00,Spain,SP1,Spain La Liga,Alaves,Valencia,A,Away,5.75,5.16,106.95499495510346,2.7783818415435673,2.7783818415435673,1.2024726418721368,1.256722567906538,2.9547383071148414,3.3152231291286616,2.7783818415435673,1.73,3.5,5.16,"[('BV', 5.75), ('Max', 5.75), ('BFE', 5.7), ('B365', 5.5), ('Avg', 5.16)]",0.35992173035670166,0.17391304347826086,18.60086868784408,3.0,22.516841043179674,0.819037601219827,1629.4391198173323,30.0
2026-09-15,19:45,Scotland,SC0,Scotland Premiership,Motherwell,Aberdeen,H,Home,1.9,1.82,42.12570669739193,1.336844715956558,1.336844715956558,2.031539841250507,0.675465957714446,1.336844715956558,5.528367071524967,14.067719780219782,1.82,3.8,4.0,"[('BFE', 1.9), ('BW', 1.85), ('Max', 1.85), ('BFD', 1.83), ('Avg', 1.82)]",0.7480300352494312,0.5263157894736842,22.171424577574705,3.0,46.80634077487992,0.9094130656584456,849.379916221529,30.0
2026-09-16,18:00,Spain,SP1,Spain La Liga,Ath Madrid,Osasuna,D,Draw,5.1,4.75,30.33835566445966,3.9128926968584237,3.9128926968584237,1.4864356235291916,1.104346120233158,2.0461915937700024,3.9128926968584237,3.910499490316003,1.38,4.75,8.5,"[('BFE', 5.1), ('BV', 5.0), ('Max', 5.0), ('B365', 4.75), ('BW', 4.75)]",0.2555654032636464,0.19607843137254904,5.948697189109736,1.8498997356377838,7.399598942551135,0.8084829879129594,145.90990899060392,18.49899735637784
2026-09-16,20:30,Spain,SP1,Spain La Liga,Levante,Ath Bilbao,H,Home,3.6,3.4,75.93660393097332,2.0461915937700024,2.0461915937700024,1.4912012015934994,1.041669852875899,2.0461915937700024,3.9128926968584237,3.910499490316003,3.4,3.5,2.1,"[('BFE', 3.6), ('Max', 3.45), ('B365', 3.4), ('BV', 3.4), ('BW', 3.4)]",0.4887127886971481,0.2777777777777778,21.093501091937032,3.0,29.206386127297428,0.9823868768139061,1573.5566860777628,30.0
2026-09-17,18:00,Spain,SP1,Spain La Liga,Betis,Getafe,A,Away,6.2,5.5,48.63883847549915,4.17118437118437,4.17118437118437,1.3227036061004032,0.9624732341645176,2.182596473294148,3.3102713178294563,4.17118437118437,1.67,3.6,5.5,"[('BFE', 6.2), ('B365', 5.75), ('Max', 5.75), ('BFD', 5.5), ('PP', 5.5)]",0.23974006205725668,0.16129032258064516,7.844973947661152,2.338405695937459,9.353622783749836,0.858061048563864,327.4107152737453,23.38405695937459
2026-09-17,18:00,Spain,SP1,Spain La Liga,Betis,Getafe,D,Draw,4.0,3.6,20.836016626661234,3.3102713178294563,3.3102713178294563,1.3227036061004032,0.9624732341645176,2.182596473294148,3.3102713178294563,4.17118437118437,1.67,3.6,5.5,"[('B365', 4.0), ('Max', 4.0), ('BFE', 3.8), ('Avg', 3.62), ('BFD', 3.6)]",0.3020900415666531,0.25,5.2090041566653085,1.7363347188884364,6.9453388755537455,0.858061048563864,93.12956771146918,17.36334718888436
2026-09-17,20:00,England,E2,England League 1,AFC Wimbledon,Milton Keynes Dons,A,Away,2.42,2.3,13.417849822134098,2.133702943403644,2.133702943403644,1.1569026046329367,1.2430604808457588,3.838050466088075,3.693004194776827,2.133702943403644,2.84,3.4,2.3,"[('BFE', 2.42), ('BFD', 2.4), ('Max', 2.4), ('Avg', 2.31), ('BV', 2.3)]",0.46866880091790947,0.4132231404958678,5.544566042204169,2.3622975038968463,9.449190015587385,0.8816734919024898,65.59311730731999,23.622975038968463
